05/04/2022 12:08:42 Pilot control
05/04/2022 12:08:42 distance: 27.839620429427445
05/04/2022 12:08:43 Pilot control
05/04/2022 12:08:43 Pilot control
05/04/2022 12:08:43 distance: 27.82722547018012
05/04/2022 12:08:44 Pilot control
05/04/2022 12:08:44 Pilot control
05/04/2022 12:08:44 distance: 27.8210326008916
05/04/2022 12:08:45 Pilot control
05/04/2022 12:08:45 Pilot control
05/04/2022 12:08:45 distance: 27.81797685576746
05/04/2022 12:08:46 Pilot control
05/04/2022 12:08:46 Pilot control
05/04/2022 12:08:46 distance: 27.79328471713843
05/04/2022 12:08:47 Pilot control
05/04/2022 12:08:47 Pilot control
05/04/2022 12:08:47 distance: 27.771645189902976
05/04/2022 12:08:48 Pilot control
05/04/2022 12:08:48 Pilot control
05/04/2022 12:08:48 distance: 27.734569259562516
05/04/2022 12:08:49 Pilot control
05/04/2022 12:08:49 Pilot control
05/04/2022 12:08:49 distance: 27.69750186078468
05/04/2022 12:08:50 Pilot control
05/04/2022 12:08:50 Pilot control
05/04/2022 12:08:50 distance: 27.669703992376423
05/04/2022 12:08:51 Pilot control
05/04/2022 12:08:51 Pilot control
05/04/2022 12:08:51 distance: 27.592567554891634
05/04/2022 12:08:52 Pilot control
05/04/2022 12:08:52 Pilot control
05/04/2022 12:08:52 distance: 27.42913383570069
05/04/2022 12:08:53 Pilot control
05/04/2022 12:08:53 Pilot control
05/04/2022 12:08:53 distance: 27.31822490032662
05/04/2022 12:08:54 Pilot control
05/04/2022 12:08:54 Pilot control
05/04/2022 12:08:54 distance: 27.228915814905363
05/04/2022 12:08:55 Pilot control
05/04/2022 12:08:55 Pilot control
05/04/2022 12:08:55 distance: 27.164375897800788
05/04/2022 12:08:56 Pilot control
05/04/2022 12:08:57 Pilot control
05/04/2022 12:08:57 distance: 27.09665036764984
05/04/2022 12:08:58 Pilot control
05/04/2022 12:08:58 Pilot control
05/04/2022 12:08:58 distance: 27.047195622674025
05/04/2022 12:08:59 Pilot control
05/04/2022 12:08:59 Pilot control
05/04/2022 12:08:59 distance: 26.991652731536185
05/04/2022 12:09:00 Pilot control
05/04/2022 12:09:00 Pilot control
05/04/2022 12:09:00 distance: 26.911382640814104
05/04/2022 12:09:01 Pilot control
05/04/2022 12:09:01 Pilot control
05/04/2022 12:09:01 distance: 26.84367434176244
05/04/2022 12:09:02 Pilot control
05/04/2022 12:09:02 Pilot control
05/04/2022 12:09:02 distance: 26.778809848263155
05/04/2022 12:09:03 Pilot control
05/04/2022 12:09:03 Pilot control
05/04/2022 12:09:03 distance: 26.748000399759956
05/04/2022 12:09:04 Pilot control
05/04/2022 12:09:04 Pilot control
05/04/2022 12:09:04 distance: 26.70786575263439
05/04/2022 12:09:05 Pilot control
05/04/2022 12:09:05 Pilot control
05/04/2022 12:09:05 distance: 26.673810791132098
05/04/2022 12:09:06 Pilot control
05/04/2022 12:09:06 Pilot control
05/04/2022 12:09:06 distance: 26.679893729419806
05/04/2022 12:09:07 Pilot control
05/04/2022 12:09:07 Pilot control
05/04/2022 12:09:07 distance: 26.68884722295586
05/04/2022 12:09:08 Pilot control
05/04/2022 12:09:08 Pilot control
05/04/2022 12:09:08 distance: 26.69494530327374
05/04/2022 12:09:09 Pilot control
05/04/2022 12:09:09 Pilot control
05/04/2022 12:09:09 distance: 26.722565370977875
05/04/2022 12:09:10 Pilot control
05/04/2022 12:09:10 Pilot control
05/04/2022 12:09:10 distance: 26.762439510015557
05/04/2022 12:09:11 Pilot control
05/04/2022 12:09:11 Pilot control
05/04/2022 12:09:11 distance: 26.768562489370254
05/04/2022 12:09:12 Pilot control
05/04/2022 12:09:12 Pilot control
05/04/2022 12:09:12 distance: 26.771527406870547
05/04/2022 12:09:13 Pilot control
05/04/2022 12:09:13 Pilot control
05/04/2022 12:09:13 distance: 26.796085865663088
